,d,S.E.
1,0.00987654,0.00205462
2,0.00606061,0.00199261
3,0.01571268,0.00268639
4,0.01813692,0.00216428
6,0.00382619,0.00070202
7,n/c,n/c
8,0.00199027,0.00054609
9,0.00167663,0.00047293
10,n/c,n/c
5,0.00852974,0.00196543
11,0.00430976,0.00111583
13,0.00121212,0.00062116
16,0.00448934,0.00139668
18,0.01683502,0.00333911
14,0.00654161,0.00116138
20,0.01010101,0.00252654
21,0.00179574,0.0008775
22,n/c,n/c
12,n/c,n/c
23,0.00151844,0.00048762
24,0.0040404,0.00158787
26,0.00606061,0.00195149
25,0.00740741,0.00157863
27,n/c,n/c
28,0.00121212,0.00060662
29,n/c,n/c
30,0.00067385,0.00065292
31,0.0026936,0.00136946
32,n/c,n/c
33,0.00942761,0.00209392
15,n/c,n/c
17,n/c,n/c
19,0,0
34,0.00493827,0.00154931
35,0.00142761,0.00044322
36,n/c,n/c
39,0.00856589,0.00101202
40,0.00137245,0.00045527
41,0.00179574,0.00090831
42,0.00085297,0.00051891
43,0,0
44,0.00119716,0.00057808
45,0.00026936,0.00026619
47,0.00606061,0.00201936
48,0.00044893,0.00044068
49,0.00538721,0.0019139
50,0.00044893,0.00045827
52,0.00110507,0.0003968
51,0,0
46,0.00044893,0.00026341
53,0.0040404,0.0016832
54,n/c,n/c
55,0.0051435,0.00084655
56,0.0026936,0.00140439
58,0.00087853,0.00031557
59,n/c,n/c
60,n/c,n/c
61,n/c,n/c
64,0.00155806,0.00043529
65,0.0011544,0.00049837
66,n/c,n/c
67,0,0
68,0.0026936,0.00109687
62,0.0013468,0.0005757
69,0.00029353,0.0002164
70,0,0
71,n/c,n/c
72,n/c,n/c
73,0.003367,0.0015195
74,0.00282187,0.00079674
63,n/c,n/c
75,0.00673401,0.00221984
76,0.00294256,0.00059224
57,0.00121212,0.00061652
77,n/c,n/c
37,n/c,n/c
78,0.00224467,0.00101692
38,0.00417508,0.00122366
79,0.0040404,0.00164863
80,0.00089832,0.00063925
81,n/c,n/c
82,n/c,n/c
83,0.0010101,0.00057932
84,0.00176309,0.00057858
85,n/c,n/c
86,0.0006734,0.00045652
88,0,0
87,n/c,n/c
89,0.0013468,0.00095468
90,0.0026936,0.00140977
