,d,S.E.
1,n/c,n/c
2,n/c,n/c
3,0.01548822,0.00258095
4,n/c,n/c
5,0.003367,0.00147659
6,0.0013468,0.000771
7,0.02424242,0.00386583
8,0.0026936,0.00130051
9,0.00763187,0.00186429
10,0.00089787,0.00061195
11,0.0117491,0.00112282
12,0.01346801,0.00241936
13,0.0013468,0.00075617
14,0,0
15,0.00628507,0.00168205
16,n/c,n/c
17,0.00359147,0.00128177
19,0.00484584,0.00078932
20,0.01013308,0.00113881
21,0,0
22,0.00294448,0.00071698
23,n/c,n/c
24,0.00583614,0.00161747
25,0.01122334,0.00223455
26,0.0085019,0.00095012
27,n/c,n/c
28,n/c,n/c
29,n/c,n/c
30,n/c,n/c
31,0.0047138,0.00182661
32,0.00044893,0.00042822
33,0.0026936,0.00104811
18,n/c,n/c
34,n/c,n/c
35,0,0
36,0.00310513,0.00086404
38,0.0006734,0.00064089
39,0.0061844,0.0008359
40,0.00112233,0.00062653
41,n/c,n/c
42,0,0
43,0.0020202,0.00111499
44,0.00044893,0.00043693
45,n/c,n/c
46,0.00222577,0.00063916
47,n/c,n/c
48,0.0026936,0.00138812
49,n/c,n/c
50,0.0013468,0.00051709
51,0.0003367,0.00034028
52,n/c,n/c
37,0.00089787,0.00062906
53,n/c,n/c
54,0.0020202,0.00114808
55,0.00179574,0.00089048
56,0.00434455,0.00063273
57,0.00128267,0.00054843
59,0.00318743,0.00082367
58,0.00053872,0.00037075
61,0.01616162,0.00333805
62,0.01077441,0.00212571
63,0.0042247,0.00079176
64,0.00350277,0.00100061
60,0.00151141,0.00057374
66,0.00345463,0.00057609
67,0,0
68,0.003367,0.00155354
69,0.00179574,0.00088753
70,0.00314254,0.0011943
71,0.00513665,0.00066443
72,0.00359147,0.00125699
74,0.00136001,0.00041431
75,0,0
77,0.00150393,0.00044405
78,0.00224467,0.00096035
79,0.00493827,0.00153402
81,0.0006734,0.00066999
82,n/c,n/c
76,0,0
83,0.003367,0.00149863
84,0.00118948,0.00035088
85,0.00740741,0.00228932
86,0.0020202,0.00119972
65,0,0
80,0.0020202,0.00115743
87,0.00044893,0.00043752
88,0.0016576,0.00054466
89,0.00069745,0.00043994
90,0,0
92,0.0006734,0.00047711
94,n/c,n/c
95,0.00284351,0.00049486
96,0.00179574,0.00088746
97,0.0026936,0.00106045
99,0.00390591,0.00060733
100,0.0009697,0.00020226
101,n/c,n/c
102,0.00347378,0.00064246
73,0,0
103,0,0
105,n/c,n/c
106,0.0005877,0.0003041
107,0.00493827,0.0014823
108,0.00875421,0.00255729
109,0.00049008,0.00024329
110,0.00124553,0.00046789
111,0.0006734,0.00038583
112,0.00673401,0.00209105
113,0.00175084,0.00072508
114,0.00763187,0.0018017
115,0.00261878,0.00069221
116,0.00113356,0.00037052
117,0.00224467,0.0005476
118,0.00179574,0.00088313
120,n/c,n/c
121,0.0002072,0.00014849
122,n/c,n/c
123,0.0006734,0.00071709
91,0.0026936,0.00124632
124,0.00215488,0.00053423
125,0.0013468,0.00069417
127,0.00224467,0.00102194
98,n/c,n/c
129,0.0003367,0.00031693
130,0.0003367,0.00034528
131,0.0014911,0.00058484
132,n/c,n/c
133,n/c,n/c
134,0.00044893,0.00044595
135,0.0006734,0.00068395
136,0.00107744,0.00063113
139,0.0017316,0.00072207
140,0.00016835,0.00016788
141,0.003367,0.00106921
143,0.0010101,0.00058318
145,0,0
146,0.0026936,0.00114856
147,0.0026936,0.00134721
148,0.0017612,0.00055484
149,0.00026936,0.00026348
150,0,0
152,n/c,n/c
153,0.0013468,0.0009472
154,0.00089787,0.0003559
104,0.0020202,0.00115831
119,n/c,n/c
155,n/c,n/c
156,0.00053872,0.00038531
157,0.00044893,0.00044866
158,0.00119608,0.00025003
159,0.0023455,0.00051172
160,0.0013468,0.00090984
161,n/c,n/c
162,0.00089787,0.00062523
163,0.0013468,0.00095545
164,0.00044893,0.00043404
165,n/c,n/c
166,n/c,n/c
128,n/c,n/c
144,0.00179574,0.00091369
167,0.0026936,0.00133314
168,0.0006734,0.00049309
169,0.0013468,0.00082645
170,n/c,n/c
93,n/c,n/c
142,n/c,n/c
171,n/c,n/c
172,0.0026936,0.00136401
126,0.0020202,0.00115835
173,n/c,n/c
174,0.0013468,0.00093986
175,n/c,n/c
176,0,0
137,n/c,n/c
177,n/c,n/c
178,n/c,n/c
179,0.0013468,0.00093854
138,n/c,n/c
180,n/c,n/c
181,n/c,n/c
182,0.0020202,0.00120123
183,0,0
184,0.0026936,0.00137746
185,0.00070547,0.00040776
151,n/c,n/c
186,0.00037414,0.00027264
187,n/c,n/c
188,0.00126129,0.00036098
189,n/c,n/c
190,0.00035921,0.00035456
