,d,S.E.
1,n/c,n/c
4,0.00436107,0.00095452
8,0.01717172,0.00196529
11,0.02424242,0.00408308
12,0.00969697,0.00190941
14,0.00763187,0.00185898
16,0.0117491,0.0011091
18,0.01346801,0.00237209
5,0.00628507,0.00168262
17,0.0100823,0.00150322
19,0.00484584,0.00078684
20,0.01013308,0.00123344
22,0.00685426,0.00136764
24,0.00294448,0.00073477
23,0.01481481,0.00193533
26,0.0085019,0.00091848
6,n/c,n/c
7,0.0026936,0.00092719
27,0.00589127,0.0009451
15,0.00493827,0.00149402
21,0.00930951,0.00124455
30,0.0061844,0.00084241
31,0.00502646,0.00116462
13,n/c,n/c
28,0.00222577,0.00063313
25,0.00423681,0.00094984
9,0.0020202,0.00122681
32,0.00350168,0.00105131
35,0.00434455,0.00064058
37,0.00480139,0.00080137
39,0.01158249,0.00191986
10,0.01840629,0.00247328
43,0.00423622,0.00072719
36,0.00719006,0.00113427
2,0.00417508,0.0011945
46,0.0036839,0.00092478
49,0.00513665,0.00072346
29,0.0032632,0.00073428
44,0.00347429,0.0005645
51,0.00184395,0.00045751
52,0.00442812,0.00106883
47,0.0016576,0.00056306
55,0.00851654,0.00135625
33,0.00583614,0.00137027
59,0.00284351,0.00049105
40,0.00390591,0.00059435
61,0.00347378,0.00061213
62,0.0005877,0.00030203
63,0.00268297,0.00049916
45,0.00049008,0.00024957
50,0.00528186,0.00116328
38,0.01078761,0.00147063
66,0.00465188,0.00092462
64,0.00224467,0.00052246
65,0.00526696,0.00110614
41,0.00069024,0.00033328
3,n/c,n/c
53,0.00215488,0.0005516
48,0.0031524,0.00080431
56,0.00127334,0.00055201
57,0.00861953,0.0013589
58,0.00300786,0.00074852
54,0.00089787,0.00037129
68,n/c,n/c
69,0.00122655,0.00059285
60,0.00119608,0.0002484
70,0.0023455,0.00053977
34,0.0020202,0.00119745
42,0.00070547,0.00040555
67,0.00126129,0.00037517
