,d,S.E.
1,n/c,n/c
2,0.00359147,0.00127022
3,n/c,n/c
4,0.003367,0.00143296
5,0,0
6,0.0020202,0.00115524
7,0,0
8,n/c,n/c
9,0.00746004,0.00084999
10,0,0
11,0.003367,0.0015002
12,n/c,n/c
13,0.01071004,0.00121173
14,0.0040404,0.00163047
15,0.00593042,0.00078969
16,n/c,n/c
17,0.00314254,0.00121151
18,n/c,n/c
19,0.01661055,0.0026279
20,0.00044893,0.00045207
21,0.00179574,0.00092692
22,0.0006734,0.00069629
23,n/c,n/c
24,0.0013468,0.00080031
25,0.01616162,0.00307501
26,n/c,n/c
27,0.003367,0.00155967
28,0.00538721,0.00188306
29,0.0047138,0.00184411
30,n/c,n/c
31,0.00455249,0.00057044
32,n/c,n/c
33,0.00466615,0.00064767
34,0.00955388,0.00101174
35,0.0006734,0.00069005
36,0.0040404,0.00167362
37,0.00628507,0.00172564
38,0.0020202,0.00116529
39,0.00606469,0.0020222
40,0.0003367,0.00035541
41,0.00513885,0.00078586
42,0.0026936,0.0011212
43,n/c,n/c
44,0.0040404,0.00170611
45,0.00534623,0.00074236
46,0.0071317,0.00087484
47,0.00599006,0.00060618
48,n/c,n/c
49,0.00538721,0.00156896
50,0.00424518,0.00068238
51,0,0
52,n/c,n/c
53,0.0026936,0.00140821
54,0.00529515,0.00072953
55,0.0040404,0.00133216
56,0.00374635,0.00069735
57,0.00585341,0.00074777
58,n/c,n/c
59,0.00546763,0.00065324
60,0.00538721,0.0015218
61,n/c,n/c
62,n/c,n/c
63,0.00314254,0.00117769
64,0.01391695,0.00245237
65,0.00332109,0.0007753
66,0.00092951,0.00032868
67,n/c,n/c
68,0.0013468,0.00074768
69,0.00456039,0.0007641
70,0.00359147,0.00128974
71,0.00739527,0.00093534
72,0.00216875,0.00058107
73,0.00246272,0.00050745
74,0.00203263,0.00051564
75,0.00538721,0.00197765
76,0.001813,0.00045275
77,0.00313296,0.00059055
78,0.00327843,0.00072058
79,0.00089787,0.00064646
80,0.00224467,0.0009922
81,0.00308504,0.00059292
82,0.00390227,0.00062775
83,0.0029413,0.00056519
84,0.0003367,0.00033119
85,0.00107744,0.00065181
86,0.00089787,0.00063683
87,0.00022447,0.00022716
88,n/c,n/c
89,0.00349883,0.00058341
90,0.00034963,0.00020822
91,0.00131687,0.00044453
92,0.00378953,0.00064265
93,0.0006734,0.00047267
94,0.00095068,0.0004317
95,0.00210397,0.00054394
96,0.00095926,0.00028004
97,n/c,n/c
98,n/c,n/c
99,0.001702,0.00051128
100,0.00192172,0.00051411
101,0.0006734,0.00048155
102,0,0
103,0.00077543,0.00040123
104,0.00245902,0.00053506
105,0.00216611,0.00054148
106,0.00044893,0.00043083
107,n/c,n/c
